1ci-smcs	['3091']
dec-mbadmin-h	['1656']
dec-notes	['3333']
decap	['403']
decauth	['316']
decbsrv	['579']
decladebug	['410']
decvms-sysmgt	['441']
dei-icda	['618']
delibo	['2562']
dell-eql-asm	['7569']
dell-rm-port	['3668']
dellpwrappks	['1266']
dellwebadmin-1	['1278']
dellwebadmin-2	['1279']
delos-dms	['3714']
delta-mcp	['1324']
denali-server	['3444']
deos	['76']
deploymentmap	['4570']
derby-repli	['4851']
descent3	['2092']
deskshare	['1702']
desktop-dna	['2763']
deskview	['3298']
devbasic	['5426']
device	['801']
device2	['2030']
devshr-nts	['552']
dey-keyneg	['8750']
dey-sapi	['4330']
dfn	['1133']
dfoxserver	['2960']
dfserver	['21554']
dgi-serv	['33333']
dgpf-exchg	['6785']
dhcp-failover	['647']
dhcp-failover2	['847']
dhcpv6-client	['546']
dhcpv6-server	['547']
dhct-alerts	['4676']
dhct-status	['4675']
dhe	['3252']
di-ase	['3046']
di-drm	['2226']
di-msg	['2227']
di-traceware	['3041']
diagmond	['1508']
diagnose-proc	['6072']
dialog-port	['2098']
dialogic-elmd	['1945']
dialpad-voice1	['2860']
dialpad-voice2	['2861']
diameter	['3868']
diameters	['5868']
diamondport	['33331']
dic-aida	['1941']
dicom	['11112']
dicom-iscl	['2761']
dicom-tls	['2762']
dict	['2628']
dict-lookup	['2289']
dif-port	['2251']
digiman	['2362']
digital-notary	['1335']
digital-vrc	['466']
digivote	['3223']
direcpc-dll	['1844']
direcpc-si	['2464']
direcpc-video	['1825']
direct	['242']
directnet	['3447']
directplay	['2234']
directplay8	['6073']
directplaysrvr	['47624']
directv-catlg	['3337']
directv-soft	['3335']
directv-tick	['3336']
directv-web	['3334']
directvdata	['3287']
dirgis	['2496']
discard	['9']
disclose	['667']
discovery-port	['1925']
discp-client	['2601']
discp-server	['2602']
display	['7236']
dist-upgrade	['3624']
distcc	['3632']
distinct	['9999']
distinct32	['9998']
dixie	['96']
dj-ice	['5419']
dj-ilm	['3362']
dka	['1263']
dkmessenger	['1177']
dl-agent	['3876']
dlep	['854']
dlip	['7201']
dlms-cosem	['4059']
dlpx-sp	['8415']
dls	['197','2047']
dls-mon	['198']
dls-monitor	['2048']
dlsrap	['1973']
dlsrpn	['2065']
dlswpn	['2067']
dmdocbroker	['1489']
dmidi	['1199']
dmod-workspace	['3199']
dmp	['5031']
dmt	['7683']
dn6-nlm-aud	['195']
dn6-smm-red	['196']
dna	['2287']
dna-cml	['436']
dnap	['1172']
dnc-port	['3448']
dnox	['4022']
dnp	['20000']
dnp-sec	['19999']
dns-llq	['5352']
dns2go	['1227']
dnsix	['90']
dnx	['3998']
doc-server	['7165']
doc1lm	['3161']
docent	['2151']
docker	['2375']
docker-s	['2376']
docstor	['1488']
documentum	['10002']
documentum-s	['10003']
dof-dps-mc-sec	['5567']
dof-eps	['3567']
dof-tunnel	['8567']
dof-tunnel-sec	['3568']
domain	['53']
domain-s	['853']
domaintime	['9909']
domiq	['44544']
donnyworld	['1821']
dossier	['1175']
dpap	['8770']
dpcp	['4099']
dpi-proxy	['1795']
dpkeyserv	['1780']
dpm	['5718']
dpm-acm	['6075']
dpm-agent	['5719']
dproxy	['1296']
dpserve	['7020']
dpserveadmin	['7021']
dpsi	['315']
dragonfly	['8913']
drip	['3949']
driveappserver	['1930']
drizzle	['4427']
drm-production	['7171']
drmsfsd	['4098']
drmsmc	['1878']
drp	['1974']
drwcs	['2193']
ds-admin	['4404']
ds-clnt	['4402']
ds-mail	['4405']
ds-slp	['4406']
ds-srv	['4400']
ds-srvr	['4401']
ds-user	['4403']
dsETOS	['378']
dsatp	['2111']
dsc	['3390']
dsdn	['1292']
dserver	['4309']
dsf	['555']
dsfgw	['438']
dslremote-mgmt	['2420']
dsm-scm-target	['9987']
dsmcc-ccp	['13822']
dsmcc-config	['13818']
dsmcc-download	['13821']
dsmcc-passthru	['13820']
dsmcc-session	['13819']
dsmeter-iatc	['4060']
dsmipv6	['4191']
dsom-server	['3053']
dsp	['33']
dsp3270	['246']
dssiapi	['1265']
dsx-agent	['3685']
dsx-monitor	['31685']
dt-mgmtsvc	['6325']
dt-vra	['6326']
dta-systems	['13929']
dtk	['365']
dtn-bundle	['4556']
dtn1	['2445']
dtp	['3663']
dtp-dia	['3489']
dtp-net	['8732']
dtpt	['5721']
dts	['2594']
dtserver-port	['4028']
dtspcd	['6112']
dtv-chan-req	['2253']
dvapps	['3831']
dvbservdsc	['3937']
dvcprov-port	['3776']
dvl-activemail	['1396']
dvr-esm	['2804']
dvt-data	['3247']
dvt-system	['3246']
dwf	['1450']
dwmsgserver	['3228']
dwnmshttp	['3227']
dwr	['644']
dx-instrument	['1325']
dxadmind	['1958']
dxmessagebase1	['2874']
dxmessagebase2	['2875']
dxspider	['8873']
dyn-site	['3932']
dyna-access	['3310']
dyna-lm	['3395']
dynamic3d	['2150']
dynamid	['9002']
dyniplookup	['3295']
dzdaemon	['3866']
dzoglserver	['3867']
e-builder	['4121']
e-design-net	['6702']
e-design-web	['6703']
e-dpnet	['2036']
e-mdu	['3727']
e-net	['3286']
e-woa	['3728']
e3consultants	['3157']
ea	['17729']
ea1	['1791']
eapol-relay	['10253']
eapsp	['2291']
easl	['3693']
easy-soft-mux	['2168']
easyengine	['22222']
eba	['45678']
ebinsite	['2651']
echo	['7']
echonet	['3610']
ecmport	['3524']
ecnp	['2858']
ecolor-imager	['3263']
ecomm	['3477']
ecovisiong6-1	['2896']
ecp	['3134']
ecsqdmn	['1882']
ecwcfg	['2263']
edb-server1	['1635']
edb-server2	['3711']
edbsrvr	['12010']
editbench	['1350']
edix	['3123']
edm-adm-notify	['3463']
edm-manager	['3460']
edm-mgr-cntrl	['3465']
edm-mgr-sync	['3464']
edm-stager	['3461']
edm-std-notify	['3462']
edtools	['1142']
eenet	['5234']
efb-aci	['6159']
efcp	['3671']
efi-lm	['3392']
efi-mg	['2224']
efidiningport	['2553']
eforward	['2181']
efr	['5618']
eftp	['37601']
egptlm	['3328']
egs	['1926']
ehome-ms	['2228']
ehp-backup	['3638']
ehs	['4535']
ehs-ssl	['4536']
ehtp	['1295']
eicon-server	['1438']
eicon-slp	['1440']
eicon-x25	['1439']
eims-admin	['4199']
eis	['3982']
eisp	['3983']
eisport	['3525']
elad	['1893']
elan	['1378']
elanlm	['4346']
elatelink	['2124']
elcn	['7101']
elcsd	['704']
elektron-admin	['5398']
elfiq-repl	['1148']
eli	['2087']
elipse-rec	['6515']
elm-momentum	['1914']
elpro-tunnel	['4370']
els	['1315']
elvin-client	['2917']
elvin-server	['2916']
elxmgmt	['23333']
em7-secom	['7700']
ema-sent-lm	['2526']
emb-proj-cmd	['5116']
embl-ndt	['394']
embrace-dp-c	['3198']
embrace-dp-s	['3197']
emc-gateway	['1273']
emc-pp-mgmtsvc	['9083']
emc-xsw-dcache	['11723']
emc-xsw-dconfig	['11623']
emcads	['3945']
emcrmirccd	['10004']
emcrmird	['10005']
emcsymapiport	['2707']
emfis-cntl	['141']
emfis-data	['140']
emgmsg	['6656']
emp-server1	['6321']
emp-server2	['6322']
emperion	['1282']
empire-empuma	['1691']
empowerid	['7080']
emprise-lls	['3585']
emprise-lsc	['3586']
ems	['4664']
emsd-port	['1928']
emwavemsg	['20480']
emwin	['2211']
encore	['1740']
encrypted-admin	['1138']
encrypted-llrp	['5085']
enfs	['5233']
enguity-xccetp	['8041']
enl	['1804']
enl-name	['1805']
enpc	['3289']
enpp	['2968']
enrp-sctp-tls	['9902']
ent-engine	['3665']
entexthigh	['12002']
entextlow	['12004']
entextmed	['12003']
entextnetwk	['12001']
entextxid	['12000']
entp	['1865']
entrust-aaas	['680']
entrust-aams	['681']
entrust-ash	['710']
entrust-kmsh	['709']
entrust-sps	['640']
entrusttime	['309']
eor-game	['8149']
eoss	['1210']
ep-nsp	['3621']
ep-pcp	['3620']
epc	['1267']
epicon	['2912']
epl-slp	['3819']
epmap	['135']
epmd	['4369']
epncdp2	['3259']
epnsdp	['2051']
eportcomm	['4666']
eportcommdata	['4669']
epp	['700','3044']
eppc	['3031']
ept-machine	['3628']
eq-office-4940	['4940']
eq-office-4941	['4941']
eq-office-4942	['4942']
equationbuilder	['1351']
ergolight	['2109']
eristwoguns	['2650']
erp-scale	['5135']
erpc	['121']
erunbook-agent	['9616']
erunbook-server	['9617']
es-elmd	['1822']
esbroker	['1342']
escp-ip	['621']
escvpnet	['3629']
eserver-pap	['3666']
esimport	['3564']
esinstall	['5599']
esip	['2950']
esl-lm	['1455']
esmagent	['5601']
esmmanager	['5600']
esnm-zoning	['4023']
esp-encap	['2797']
esp-lm	['3383']
espeech	['8416']
espeech-rtp	['8417']
esps-portal	['2867']
esri-sde	['5151']
esro-emsdp	['642']
esro-gen	['259']
essbase	['1423']
essp	['2969']
essweb-gw	['1772']
estamp	['1982']
etb4j	['16309']
etc-control	['6107']
etcd-client	['2379']
etcd-server	['2380']
etebac5	['1216']
etftp	['1818']
ethercat	['34980']
ethernet-ip-s	['2221']
ethoscan	['6935']
etlservicemgr	['9001']
etp	['1798']
ets	['1569']
eudora-set	['592']
ev-services	['5114']
evb-elm	['1504']
event-listener	['3017']
event-port	['2069']
everydayrc	['2782']
evm	['1139']
evtp	['2834']
evtp-data	['2835']
ewall	['1328']
ewcappsrv	['1876']
ewctsp	['6066']
ewdgs	['4092']
ewinstaller	['4091']
ewnn	['2674']
exapt-lmgr	['3759']
exasoftport1	['3920']
exbit-escp	['1316']
exce	['2769']
excerpt	['5400']
excerpts	['5401']
excw	['1271']
exoconfig	['26487']
exonet	['26489']
exp1	['1021']
exp2	['1022']
expresspay	['2755']
extensis	['2666']
eye2eye	['1948']
eyelink	['589']
eyetv	['2170']
ezmeeting	['26261']
ezmeeting-2	['10101']
ezmessagesrv	['4085']
ezproxy	['26260']
ezproxy-2	['10102']
ezrelay	['10103']
f1-control	['38472']
f5-globalsite	['2792']
f5-iquery	['4353']
fac-restore	['5582']
facelink	['1915']
facilityview	['1561']
facsys-ntp	['2514']
facsys-router	['2515']
fagordnc	['3873']
fairview	['38202']
famdc	['10081']
farenet	['5557']
fast-rem-serv	['2495']
fastlynx	['2689']
fatpipe	['3353']
fatserv	['347']
faxcomservice	['6417']
faximum	['7437']
faxportwinport	['1620']
faxstfx-port	['3684']
fazzt-admin	['4039']
fazzt-ptp	['4038']
fc-cli	['1371']
fc-faultnotify	['2819']
fc-ser	['1372']
fcip-port	['3225']
fcmsys	['2344']
fcopy-server	['5745']
fcopys-server	['5746']
fcp	['510']
fcp-addr-srvr1	['5500']
fcp-addr-srvr2	['5501']
fcp-cics-gw1	['5504']
fcp-srvr-inst1	['5502']
fcp-srvr-inst2	['5503']
fcp-udp	['810']
fdt-rcatp	['4320']
fdtracks	['5579']
febooti-aw	['36524']
feitianrockey	['3152']
femis	['1776']
ferrari-foam	['3216']
ff-annunc	['1089']
ff-fms	['1090']
ff-lr-port	['3622']
ff-sm	['1091']
ffserver	['3825']
fg-fps	['3293']
fg-gip	['3294']
fg-sysupdate	['6550']
fhc	['1499']
fhsp	['1807']
fibotrader-com	['6715']
filecast	['3401']
filenet-cm	['32773']
filenet-nch	['32770']
filenet-obrok	['32777']
filenet-pa	['32772']
filenet-pch	['32775']
filenet-peior	['32776']
filenet-powsrm	['32767']
filenet-re	['32774']
filenet-rmi	['32771']
filenet-rpc	['32769']
filenet-tms	['32768']
filesphere	['24242']
filex-lport	['1887']
find	['24922']
findviatv	['3350']
finger	['79']
finisar	['4682']
finle-lm	['1784']
fintrx	['3787']
fio-cmgmt	['9051']
fiorano-msgsvc	['1856']
fiorano-rtrsvc	['1855']
firefox	['1689']
firemonrcc	['3192']
firepower	['2615']
first-defense	['1232']
firstcall42	['2673']
fis	['5912']
fisa-svc	['7018']
fiveacross	['1193']
fj-hdnet	['1717']
fjappmgrbulk	['2510']
fjcp	['3648']
fjdmimgr	['9374']
fjdocdist	['1848']
fjhpjp	['3067']
fjicl-tep-a	['1901']
fjicl-tep-b	['1902']
fjicl-tep-c	['1904']
fjinvmgr	['9396']
fjippol-cnsl	['2749']
fjippol-polsvr	['2748']
fjippol-port1	['2750']
fjippol-port2	['2751']
fjippol-swrly	['2747']
fjitsuappmgr	['2425']
fjmpcm	['2975']
fjmpjps	['1873']
fjmpss	['2509']
fjsv-gssagt	['3035']
fjsvmpor	['2946']
fjswapsnp	['1874']
fksp-audit	['3729']
flamenco-proxy	['3210']
flashfiler	['24677']
flashmsg	['2884']
flcrs	['5638']
flex-lm	['27000-27009']
flexlm	['744']
flirtmitmir	['3840']
fln-spx	['221']
florence	['1228']
flr-agent	['4901']
flukeserver	['2359']
fly	['4396']
fmp	['4745']
fmpro-fdal	['2399']
fmpro-internal	['5003']
fmpro-v6	['5013']
fmsas	['16000']
fmsascon	['16001']
fmtp	['8500']
fmwp	['5015']
fnet-remote-ui	['1174']
fodms	['7200']
foliocorp	['2242']
font-service	['7100']
foresyte-clear	['5407']
foresyte-sec	['5408']
fortisphere-vm	['4084']
fotogcad	['3878']
found	['4411']
fpitp	['1045']
fpo-fns	['1066']
fprams	['4122']
frc-hp	['6704']
frc-lp	['6706']
frc-mp	['6705']
frcs	['4915']
freeciv	['5556']
freezexservice	['7726']
fronet	['4130']
fryeserv	['2788']
fs-agent	['8042']
fs-mgmt	['8044']
fs-qos	['41111']
fs-rh-srv	['3488']
fs-server	['8043']
fsc-port	['9217']
fse	['7394']
fsportmap	['4349']
fsr	['7164']
ft-role	['2429']
ftnmtp	['8502']
ftp	['21']
ftp-agent	['574']
ftp-data	['20']
ftps	['990']
ftps-data	['989']
ftranhc	['1105']
ftrapid-1	['1746']
ftrapid-2	['1747']
ftsrv	['1359']
ftsync	['4086']
fujitsu-dev	['747']
fujitsu-dtc	['1513']
fujitsu-dtcns	['1514']
fujitsu-mmpdc	['1657']
fujitsu-neat	['3382']
funk-dialout	['2909']
funk-license	['1787']
funk-logger	['1786']
funkproxy	['1505']
fuscript	['1144']
futrix	['2358']
fxaengine-net	['3402']
fxp	['286','2849']
fxuptp	['19539']
fyre-messanger	['2731']
g-talk	['2421']
g2tag	['4110']
g5m	['2732']
gacp	['190']
gadgetgate1way	['2677']
gadgetgate2way	['2678']
gadugadu	['8074']
gaia	['4340']
galaxy-network	['5235']
galaxy-server	['3051']
galaxy4d	['8881']
galaxy7-data	['38201']
galileolog	['3520']
gamegen1	['1738']
gamelobby	['2914']
gamesmith-port	['31765']
gammafetchsvr	['1859']
gandalf-lm	['1421']
gap	['10800']
garmin-marine	['8322']
gat-lmd	['1708']
gbjd816	['2626']
gbmt-stars	['3912']
gbs-smp	['3762']
gbs-stp	['3484']
gc-config	['3436']
gcm-app	['14145']
gcmonitor	['2660']
gcp-rphy	['8190']
gcsp	['3429']
gdbremote	['2159']
gdoi	['848']
gdomap	['538']
gdp-port	['1997']
gdrive-sync	['37483']
gds-adppiw-db	['4550']
gds-db	['3050']
gearman	['4730']
gemini-lm	['1590']
geneous	['3381']
generalsync	['7962']
geneve	['6081']
genie	['402']
genie-lm	['1453']
genisar-port	['3475']
geniuslm	['3005']
genrad-mux	['176']
genstat	['7283']
geognosis	['4326']
geognosisman	['4325']
geolocate	['3108']
gerhcs	['4985']
gf	['3530']
ggf-ncp	['678']
ggz	['5688']
ghvpn	['12009']
giga-pocket	['3862']
gilatskysurfer	['3013']
ginad	['634']
giop	['2481']
giop-ssl	['2482']
gist	['270']
git	['9418']
glbp	['3222']
gld	['6267']
glishd	['2833']
global-cd-port	['3229']
global-dtserv	['1774']
global-wlink	['1909']
globe	['2002']
globecast-id	['6109']
globmsgsvc	['2519']
glogger	['2033']
glrpc	['9080']
gmrupdateserv	['1070']
gntp	['23053']
gnunet	['2086']
gnutella-rtr	['6347']
gnutella-svc	['6346']
go-login	['491']
goahead-fldup	['3057']
gog-multiplayer	['5687']
goldleaf-licman	['1401']
golem	['9005']
gopher	['70']
gotodevice	['2217']
gpfs	['1191']
gppitnp	['103']
gprs-cube	['3751']
gpsd	['2947']
gradecam	['5117']
graphics	['41']
grasp	['7017']
grcmp	['9122']
grcp	['9123']
gre-in-udp	['4754']
gre-udp-dtls	['4755']
grf-port	['3757']
grid	['6268']
grid-alt	['6269']
gridgen-elmd	['1542']
griffin	['2458']
gris	['2135']
groove	['2492']
groove-dpp	['1211']
groupwise	['1677']
grubd	['3136']
gs-realtime	['30400']
gsakmp	['3761']
gsi	['1850']
gsidcap	['22128']
gsiftp	['2811']
gsigatekeeper	['2119']
gsmp-ancp	['6068']
gsms	['16002']
gsmtap	['4729']
gss-http	['488']
gss-xlicen	['128']
gt-proxy	['9889']
gtaua	['2186']
gte-samp	['2643']
gtegsc-lm	['1452']
gtp-control	['2123']
gtp-user	['2152']
gtrack-ne	['3592']
gtrack-server	['3591']
gue	['6080']
guibase	['9321']
guttersnex	['35356']
gv-pf	['18262']
gv-us	['1369']
gvcp	['3956']
gw-asv	['4842']
gw-call-port	['3745']
gw-log	['4844']
gwen-sonya	['2778']
gwha	['1383']
gxs-data-port	['2073']
gxtelmd	['2356']
h2250-annex-g	['2099']
h248-binary	['2945']
h263-video	['2979']
h2gf-w-2m	['3179']
h323callsigalt	['11720']
h323gatedisc	['1718']
h323gatestat	['1719']
h323hostcall	['1720']
h323hostcallsc	['1300']
ha-cluster	['694']
hacl-cfg	['5302']
hacl-gs	['5301']
hacl-hb	['5300']
hacl-local	['5304']
hacl-monitor	['3542']
hacl-poll	['5315']
hacl-probe	['5303']
hacl-qs	['1238']
hacl-test	['5305']
hagel-dump	['3036']
haipe-discover	['3623']
haipe-otnk	['3769']
hao	['2245']
hap	['661']
harp	['1816']
hart-ip	['5094']
hassle	['375']
hawk	['7630']
hb-engine	['1703']
hcp-wismar	['686']
hctl	['4197']
hdap	['263']
hde-lcesrvr-1	['14936']
hde-lcesrvr-2	['14937']
hdl-srv	['2641']
health-polling	['1161']
health-trap	['1162']
healthd	['1281']
heartbeat	['3740']
heathview	['35000']
hecmtl-db	['1551']
helix	['10860']
hello	['1789']
hello-port	['652']
hems	['151']
here-lm	['1409']
hermes	['1248']
herodotus-net	['3921']
hexarc	['7397']
hfcs	['4900']
hfcs-manager	['4999']
hhb-gateway	['1136']
hhb-handheld	['4148']
hicp	['3250']
hid	['24322']
high-criteria	['2467']
hillrserv	['4117']
hinp	['9954']
hip-nat-t	['10500']
hiperscan-id	['8293']
hippad	['2988']
hiq	['1410']
hislip	['4880']
hivep	['12172']
hivestor	['4884']
hkp	['11371']
hks-lm	['1722']
hl7	['2575']
hlibmgr	['3634']
hlserver	['3047']
hmmp-ind	['612']
hmmp-op	['613']
hncp-dtls-port	['8232']
hncp-udp-port	['8231']
hnm	['6791']
hnmp	['6790']
homeportal-web	['3941']
homesteadglory	['2597']
honyaku	['2744']
hostname	['101']
hotu-chat	['3449']
houdini-lm	['1715']
houston	['4041']
hp-3000-telnet	['2564']
hp-alarm-mgr	['383']
hp-clic	['3384']
hp-collector	['381']
hp-dataprotect	['3612']
hp-device-disc	['3329']
hp-hcip	['1782']
hp-hcip-gwy	['1803']
hp-managed-node	['382']
hp-nnm-data	['2690']
hp-pxpib	['3101']
hp-rda	['2371']
hp-san-mgmt	['3037']
hp-sca	['19411']
hp-sci	['1299']
hp-sco	['19410']
hp-server	['5225']
hp-sessmon	['19412']
hp-status	['5226']
hp-webadmin	['1188']
hp-webqosdb	['1877']
hpbladems	['5316']
hpdevms	['5317']
hpe-dp-bura	['5565']
hpidsadmin	['2984']
hpidsagent	['2985']
hpiod	['2208']
hpocbus	['2206']
hpoms-ci-lstn	['5403']
hpoms-dps-lstn	['5404']
hpppssvr	['2448']
hppronetman	['3908']
hpss-ndapi	['1217']
hpssd	['2207']
hpssmgmt	['4484']
hpstgmgr	['2600']
hpstgmgr2	['2715']
hpvirtctrl	['5224']
hpvirtgrp	['5223']
hpvmmagent	['1125']
hpvmmcontrol	['1124']
hpvmmdata	['1126']
hpvroom	['5228']
hri-port	['3439']
hrpd-ith-at-an	['4592']
hs-port	['2570']
hsl-storm	['2113']
hsrp	['1985']
hsrpv6	['2029']
htcp	['4827']
htrust	['5628']
http-alt	['591','8008','8080']
http-mgmt	['280']
http-rpc-epmap	['593']
http-wmap	['8990']
https	['443', '80']
https-wmap	['8991']
httpx	['4180']
htuilsrv	['5023']
hub-open-net	['8313']
hughes-ap	['5105']
husky	['1310']
hybrid	['1424']
hybrid-pop	['473']
hydap	['15000']
hydra	['2374']
hylafax	['4559']
hyper-g	['418']
hypercube-lm	['1577']
hyperip	['3919']
hyperscsi-port	['5674']
hyperwave-isp	['692']
i-net-2000-npr	['5069']
i-zipqd	['13160']
i3-sessionmgr	['3952']
iRAPP	['4073']
iadt-tls	['9614']
iafdbase	['480']
iafserver	['479']
ianywhere-dbns	['3968']
iapp	['2313']
ias-admind	['2141']
ias-auth	['2139']
ias-neighbor	['4596']
ias-paging	['4595']
ias-reg	['2140']
ias-session	['4594']
iascontrol	['1157']
iascontrol-oms	['1156']
iasd	['432']
iatp-highpri	['6998']
iatp-normalpri	['6999']
iax	['4569']
ibar	['5784']
iberiagames	['1726']
ibm-abtact	['1586']
ibm-app	['385']
ibm-cics	['1435']
ibm-db2	['523']
ibm-dial-out	['3267']
ibm-diradm	['3538']
ibm-diradm-ssl	['3539']
ibm-dt-2	['1792']
ibm-mgr	['3801']
ibm-mqseries	['1414']
ibm-mqseries2	['1881']
ibm-pps	['1376']
ibm-res	['1405']
ibm-rsyscon	['9085']
ibm-ssd	['1260']
ibm-wrless-lan	['1461']
ibm3494	['3494']
ibp	['2572']
ibprotocol	['6714']
ibridge-data	['2275']
ibridge-mgmt	['2276']
ibus	['8733']
ica	['1494']
icabrowser	['1604']
icad-el	['425']
icap	['1344']
iccrushmore	['6850']
ice-location	['4061']
ice-router	['4063']
ice-slocation	['4062']
ice-srouter	['4064']
iceedcp-rx	['31949']
iceedcp-tx	['31948']
icg-bridge	['2063']
icg-iprelay	['2064']
icg-swp	['2062']
ici	['2200']
icl-twobase1	['25000']
icl-twobase10	['25009']
icl-twobase2	['25001']
icl-twobase3	['25002']
icl-twobase4	['25003']
icl-twobase5	['25004']
icl-twobase6	['25005']
icl-twobase7	['25006']
icl-twobase8	['25007']
icl-twobase9	['25008']
iclcnet-locate	['886']
iclcnet-svinfo	['887']
iclid	['18242']
iclpv-dm	['1389']
iclpv-nlc	['1394']
iclpv-nls	['1393']
iclpv-pm	['1392']
iclpv-sas	['1391']
iclpv-sc	['1390']
iclpv-wsm	['1395']
icmpd	['5813']
icms	['4486']
icon-discover	['2799']
iconp	['3972']
iconstructsrv	['6077']
icp	['1112']
icpp	['14142']
icpps	['14143']
icpv2	['3130']
ics	['5639']
icshostsvc	['4553']
icslap	['2869']
ida-discover1	['5741']
ida-discover2	['5742']
idac	['3881']
idcp	['2326']
ideafarm-door	['902']
ideafarm-panic	['903']
ideesrv	['2337']
iden-ralp	['1725']
identify	['2987']
idfp	['549']
idig-mux	['4152']
idmaps	['1884']
idmgratm	['32896']
idonix-metanet	['2112']
idotdist	['2590']
idp	['4067']
idp-infotrieve	['2966']
idps	['3797']
idrs	['2995']
idtp	['25604']
idware-router	['2079']
idxp	['603']
iec-104	['2404']
iec-104-sec	['19998']
iee-qfx	['1284']
ieee-mih	['4551']
ieee-mms	['651']
ieee-mms-ssl	['695']
ieee11073-20701	['6464']
ies-lm	['1443']
ifcp-port	['3420']
ife-icorp	['5165']
ifor-protocol	['1515']
ifsf-hb-port	['3486']
ifsp	['4744']
igcp	['2801']
igi-lm	['1404']
igo-incognito	['4100']
igrid	['19000']
igrs	['3880']
ii-admin	['3006']
iims	['4800']
iiop	['535']
iiw-port	['3186']
ild	['24321']
ill	['1611']
ilss	['4802']
imagepump	['27345']
imagequery	['2239']
imap	['143']
imap3	['220']
imaps	['993']
imdocsvc	['2637']
imgames	['1077']
imink	['8615']
imip	['11319']
imip-channels	['11320']
immedianet-bcn	['3657']
imoguia-port	['3907']
impera	['1710']
imprs	['3164']
imqbrokerd	['7676']
imqstomp	['7672']
imqstomps	['7673']
imqtunnel	['7675']
imqtunnels	['7674']
imsldoc	['2035']
imsp	['406']
imtc-map	['2202']
imtc-mcs	['1503']
imyx	['1143']
inbusiness	['244']
incognitorv	['3139']
incp	['2932']
index-net	['2970']
index-pc-wb	['2127']
indi	['7624']
indigo-server	['1176']
indigo-vbcp	['8131']
indigo-vrmi	['8130']
indura	['3156']
indx-dds	['2454']
indy	['5963']
inedo	['46336']
inetfs	['7775']
infi-async	['8067']
infiniswitchcl	['3602']
influence	['3345']
infobright	['5029']
infocrypt	['2233']
infoexch	['3667']
infolibria	['2319']
infoman	['1451']
infomover	['2854']
informatik-lm	['1428']
informer	['3856']
infoseek	['414']
infotos	['18881']
infowave	['2082']
ingres-net	['134']
ingreslock	['1524']
ininmessaging	['5597']
iniserve-port	['3560']
initlsmsad	['2793']
innosys	['1412']
innosys-acl	['1413']
inova-ip-disco	['2716']
inovaport1	['23000']
inovaport2	['23001']
inovaport3	['23002']
inovaport4	['23003']
inovaport5	['23004']
inovaport6	['23005']
insis	['9215']
insitu-conf	['1490']
inspect	['1602']
inst-discovery	['4878']
instantia	['1240']
instl-bootc	['1068']
instl-boots	['1067']
int-rcv-cntrl	['3603']
intecom-ps1	['5056']
intecom-ps2	['5057']
intecourier	['495']
integra-sme	['484']
integral	['3459']
integrius-stp	['17234']
intel-rci	['24386']
intel-rci-mp	['16991']
intelliadm-disc	['4746']
intellistor-lm	['1539']
intelsync	['3692']
interact	['4052']
interactionweb	['3508']
interbase	['2041']
interhdl-elmd	['1454']
interintelli	['2633']
intermapper	['8181']
interpathpanel	['2652']
intersan	['1331']
interserver	['3060']
intersys-cache	['1972']
interwise	['7778']
interworld	['3548']
intraintra	['3202']
intrastar	['1907']
intrepid-ssl	['11751']
intrinsa	['503']
intu-ec-client	['8021']
intu-ec-svcdisc	['8020']
intuitive-edge	['1355']
intv	['1585']
invision	['1641']
invision-ag	['45054']
ioc-sea-lm	['1579']
ionixnetmon	['7410']
iop	['2055']
ip-blf	['2088']
ip-provision	['43190']
ip-qsig	['4029']
ipass	['2549']
ipcd	['576']
ipcd3	['1209']
ipcore	['2215']
ipcs-command	['3743']
ipcserver	['600']
ipdcesgbs	['9214']
ipdd	['578']
ipdr-sp	['4737']
ipdtp-port	['20202']
ipether232port	['3497']
ipfix	['4739']
ipfixs	['4740']
ipfltbcst	['4068']
iph-policy-adm	['2963']
iph-policy-cli	['2962']
iposplanet	['7031']
ipp	['631']
ipr-dglt	['3678']
ipsec-nat-t	['4500']
ipt-anri-anri	['4593']
ipulse-ics	['20222']
ipx	['213']
iqnet-port	['3804']
iqobject	['48619']
iqrm	['10117']
iqserver	['2527']
ique	['18769']
iracinghelper	['32034']
irc	['194']
irc-serv	['529']
ircs-u	['6697']
ircu	['6665-6669']
irdg-post	['2632']
irdmi	['8000']
irdmi2	['7999']
iris-beep	['702']
iris-lwz	['715']
iris-xpc	['713']
iris-xpcs	['714']
irisa	['11000']
ironmail	['3206']
ironstorm	['3504']
irp	['4604']
irtrans	['21000']
is99c	['379']
is99s	['380']
isa100-gci	['17223']
isakmp	['500']
isbconference1	['1244']
isbconference2	['1245']
iscape	['5047']
ischat	['1336']
iscsi	['860']
iscsi-target	['3260']
isdc	['1636']
isdd	['8148']
isg-uda-server	['2551']
isi-gl	['55']
isi-irp	['3226']
isis	['2042']
isis-am	['1642']
isis-ambc	['1643']
isis-bcast	['2043']
islc	['1637']
ismaeasdaqlive	['1949']
ismaeasdaqtest	['1950']
ismc	['1638']
ismserver	['9500']
isnetserv	['48128']
isns	['3205']
iso-ill	['499']
iso-ip	['147']
iso-tp0	['146']
iso-tp0s	['3782']
iso-tsap	['102']
iso-tsap-c2	['399']
